age,MonthlyIncome,NumberOfDependents,DebtRatio,RevolvingUtilizationOfUnsecuredLines,NumberOfOpenCreditLinesAndLoans,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfTimes90DaysLate,TotalPastDueCount,IncomePerDependent,SeriousDlqin2yrs
54,9050000.0,1.0,0.6487,0.4644,12,0,0,0,0,4525000.0,0
46,5470000.0,1.0,0.1477,0.2303,9,0,0,0,0,2735000.0,0
49,2330000.0,3.0,0.0645,0.2276,13,0,0,0,0,582500.0,0
53,5330000.0,1.0,0.6071,0.589,10,0,0,0,0,2665000.0,0
26,22510249.99999996,3.0,0.2165,0.4648,14,0,0,0,0,5627562.49999999,0
41,13420000.0,0.0,0.0776,0.9646,7,0,0,0,0,13420000.0,1
39,840000.0,0.0,0.578,0.2943,6,0,1,0,1,840000.0,0
37,5190000.0,1.0,0.5162,0.4232,5,0,0,0,0,2595000.0,0
41,8750000.0,0.0,1.1663,0.3029,11,0,0,1,1,8750000.0,1
64,5050000.0,1.0,0.2926,0.2363,8,0,0,0,0,2525000.0,0
34,3790000.0,1.0,0.3428,0.2804,10,1,0,1,2,1895000.0,0
58,4260000.0,1.0,0.603,0.1053,11,0,1,0,1,2130000.0,0
23,6960000.0,4.0,1.1649,0.423,7,1,0,0,1,1392000.0,0
41,2510000.0,0.0,0.8247,0.6395,5,0,0,0,0,2510000.0,0
47,10200000.0,0.0,0.152,0.2039,9,0,0,0,0,10200000.0,0
53,4830000.0,1.0,0.3028,0.7142,9,0,0,0,0,2415000.0,0
54,2850000.0,3.0,0.4504,0.3626,7,0,0,0,0,712500.0,0
55,9820000.0,1.0,0.3849,0.6912,5,0,0,0,0,4910000.0,0
40,1980000.0,2.0,0.1656,0.3169,7,0,0,0,0,660000.0,0
39,3580000.0,3.0,1.0894,0.568,4,0,0,0,0,895000.0,0
56,3550000.0,0.0,0.3013,0.6346,8,1,0,0,1,3550000.0,1
43,18100000.0,0.0,0.099,0.3171,7,0,0,0,0,18100000.0,0
28,3310000.0,1.0,0.3174,0.3661,9,1,0,0,1,1655000.0,0
30,5050000.0,2.0,0.6666,0.3282,8,0,0,0,0,1683333.3333333333,0
33,3530000.0,1.0,0.9169,0.1123,5,0,0,0,0,1765000.0,0
51,6570000.0,0.0,0.2345,0.2333,5,1,0,0,1,6570000.0,0
47,8000000.0,0.0,0.4066,0.4452,3,0,0,0,0,8000000.0,0
54,19600000.0,2.0,0.3883,0.1976,8,0,0,0,0,6533333.333333333,0
39,11630000.0,0.0,0.4057,0.3926,6,1,0,1,2,11630000.0,0
47,5600000.0,1.0,1.0659,0.3621,9,0,0,1,1,2800000.0,0
53,2930000.0,0.0,0.1573,0.4367,5,0,1,0,1,2930000.0,0
41,13250000.0,2.0,1.3902,0.545,9,1,0,0,1,4416666.666666667,0
51,4010000.0,2.0,0.0591,0.3222,6,0,0,0,0,1336666.6666666667,0
36,3370000.0,1.0,0.3385,0.4398,7,1,0,0,1,1685000.0,0
40,3890000.0,1.0,0.8925,0.1562,10,1,2,0,3,1945000.0,0
40,2360000.0,1.0,0.9958,0.1362,7,0,0,0,0,1180000.0,0
29,3780000.0,0.0,0.8483,0.2622,10,0,0,0,0,3780000.0,0
51,4350000.0,1.0,0.2993,0.4472,10,1,0,0,1,2175000.0,0
39,7750000.0,0.0,0.9867,0.3796,9,1,0,0,1,7750000.0,0
45,3960000.0,0.0,1.0444,0.2395,10,0,0,1,1,3960000.0,1
51,2340000.0,2.0,0.8201,0.4843,13,0,0,0,0,780000.0,0
51,1910000.0,2.0,0.0819,0.4004,10,0,0,0,0,636666.6666666666,0
54,5050000.0,1.0,0.1882,0.523,5,0,0,0,0,2525000.0,0
44,5220000.0,1.0,0.5005,0.153,6,2,0,0,2,2610000.0,0
39,3590000.0,0.0,0.7635,0.1472,10,0,0,0,0,3590000.0,1
44,3780000.0,1.0,0.1666,0.1494,14,1,0,0,1,1890000.0,0
23,6310000.0,1.0,0.2791,0.1452,7,0,0,0,0,3155000.0,0
26,11520000.0,2.0,0.3535,0.2678,10,1,0,0,1,3840000.0,0
28,3130000.0,0.0,0.3953,0.1271,10,0,0,0,0,3130000.0,0
32,5270000.0,1.0,0.5096,0.5781,8,0,0,0,0,2635000.0,0
50,8890000.0,0.0,0.6276,0.2817,6,1,0,1,2,8890000.0,0
33,3140000.0,0.0,0.0454,0.6797,9,0,0,0,0,3140000.0,0
40,4950000.0,0.0,0.6217,0.2049,4,0,0,0,0,4950000.0,0
62,4890000.0,2.0,0.6712,0.7519,9,0,0,0,0,1630000.0,0
40,2280000.0,0.0,0.3083,0.519,9,0,1,0,1,2280000.0,0
55,5530000.0,1.0,0.7512,0.126,13,1,0,0,1,2765000.0,0
33,5100000.0,0.0,0.2538,0.4941,7,0,0,0,0,5100000.0,0
42,6980000.0,1.0,0.7839,0.7342,7,0,0,0,0,3490000.0,0
33,2450000.0,0.0,0.41,0.9432,10,0,0,0,0,2450000.0,0
41,5030000.0,1.0,0.2063,0.1365,9,0,0,0,0,2515000.0,0
56,11460000.0,0.0,0.7854,0.1253,8,1,0,0,1,11460000.0,0
23,17390000.0,0.0,0.758,0.3968,7,0,0,0,0,17390000.0,0
51,10780000.0,2.0,0.9152,0.4809,12,0,0,0,0,3593333.3333333335,0
48,2470000.0,1.0,0.5597,0.5452,11,0,0,0,0,1235000.0,0
37,6550000.0,0.0,0.4687,0.0754,3,0,1,0,1,6550000.0,0
26,3740000.0,0.0,0.2333,0.1196,7,0,1,0,1,3740000.0,0
46,5930000.0,1.0,0.1624,0.1526,8,0,1,0,1,2965000.0,0
38,3150000.0,0.0,1.2097,0.0622,12,0,0,0,0,3150000.0,0
48,1790000.0,2.0,0.0807,0.0677,6,1,0,0,1,596666.6666666666,0
45,4070000.0,1.0,0.5281,0.2381,4,1,1,0,2,2035000.0,1
66,7710000.0,1.0,0.1377,0.3747,9,0,0,0,0,3855000.0,0
42,5940000.0,2.0,0.5364,0.228,5,1,1,0,2,1980000.0,0
32,6370000.0,0.0,0.818,0.222,8,0,0,1,1,6370000.0,0
47,5690000.0,0.0,0.593,0.069,13,0,1,0,1,5690000.0,0
48,6370000.0,4.0,0.1301,0.623,11,0,0,0,0,1274000.0,0
63,6870000.0,2.0,0.357,0.6465,11,0,0,0,0,2290000.0,0
56,4240000.0,1.0,0.535,0.1628,4,0,0,0,0,2120000.0,0
50,5250000.0,0.0,0.1482,0.5838,9,0,0,0,0,5250000.0,0
64,14230000.0,0.0,0.3908,0.7374,6,1,1,0,2,14230000.0,0
30,5440000.0,0.0,0.4205,0.5278,4,0,0,0,0,5440000.0,0
37,5130000.0,1.0,0.2305,0.3154,8,0,0,0,0,2565000.0,0
33,5320000.0,0.0,0.3403,0.9033,10,1,0,1,2,5320000.0,1
40,4390000.0,2.0,0.671,0.4998,4,0,0,0,0,1463333.3333333333,0
27,3850000.0,0.0,0.3831,0.6246,5,2,0,0,2,3850000.0,0
53,5670000.0,0.0,0.7562,0.341,11,0,1,0,1,5670000.0,0
42,3690000.0,1.0,0.712,0.476,8,0,0,0,0,1845000.0,0
26,4580000.0,1.0,0.7721,0.3102,5,1,0,0,1,2290000.0,0
32,3110000.0,1.0,0.3982,0.2635,8,0,0,0,0,1555000.0,0
49,5330000.0,1.0,0.6203,0.0323,3,0,0,0,0,2665000.0,0
56,5050000.0,0.0,0.7574,0.1789,5,0,0,0,0,5050000.0,0
71,4400000.0,2.0,0.5685,0.1481,7,1,0,0,1,1466666.6666666667,0
83,1500000.0,1.0,0.833,0.1994,9,0,1,0,1,750000.0,0
50,7130000.0,1.0,0.066,0.5135,7,0,0,0,0,3565000.0,0
32,5370000.0,0.0,1.1427,0.5337,4,0,0,0,0,5370000.0,0
18,2760000.0,0.0,0.4964,0.195,6,0,0,0,0,2760000.0,0
48,7950000.0,0.0,0.6171,0.6448,4,1,0,0,1,7950000.0,0
34,2160000.0,1.0,1.6758,0.6401,5,1,0,0,1,1080000.0,1
40,9360000.0,0.0,0.8134,0.1916,7,0,1,1,2,9360000.0,1
37,4830000.0,1.0,0.2613,0.5145,8,1,1,0,2,2415000.0,0
43,5050000.0,0.0,0.7824,0.4935,10,0,0,1,1,5050000.0,0
59,5560000.0,1.0,1.3304,0.2155,5,1,0,0,1,2780000.0,0
47,3920000.0,2.0,0.5545,0.4349,13,0,0,0,0,1306666.6666666667,0
43,3580000.0,1.0,0.3767,0.6034,9,0,1,0,1,1790000.0,0
32,3210000.0,1.0,1.1122,0.2681,11,0,0,0,0,1605000.0,0
23,4630000.0,1.0,0.5791,0.6031,8,0,0,0,0,2315000.0,0
39,3740000.0,1.0,0.2249,0.6772,6,0,0,0,0,1870000.0,0
44,1640000.0,1.0,0.3478,0.8008,5,0,1,0,1,820000.0,0
68,10730000.0,2.0,0.5544,0.2712,12,0,0,1,1,3576666.6666666665,0
47,4320000.0,0.0,0.0957,0.0951,5,0,0,0,0,4320000.0,0
58,3220000.0,3.0,0.8535,0.1664,6,0,0,0,0,805000.0,0
39,2540000.0,1.0,0.2452,0.6327,8,0,0,0,0,1270000.0,0
30,7940000.0,1.0,0.4361,0.3784,6,0,0,0,0,3970000.0,0
32,5050000.0,2.0,0.8662,0.6894,12,0,2,0,2,1683333.3333333333,1
36,5420000.0,1.0,0.7644,0.6042,7,0,0,0,0,2710000.0,0
73,3520000.0,0.0,0.6112,0.8545,9,0,0,0,0,3520000.0,0
34,5050000.0,0.0,0.1252,0.3904,6,0,0,1,1,5050000.0,0
56,2580000.0,0.0,0.5986,0.7099,11,0,1,0,1,2580000.0,0
33,3450000.0,0.0,0.253,0.1502,6,0,1,0,1,3450000.0,0
57,5030000.0,2.0,0.2951,0.1376,4,0,0,0,0,1676666.6666666667,0
50,5760000.0,2.0,0.7038,0.5491,10,0,0,0,0,1920000.0,0
43,3120000.0,2.0,0.1959,0.6779,3,0,0,0,0,1040000.0,0
44,4730000.0,0.0,0.6292,0.7129,8,1,0,0,1,4730000.0,0
36,8520000.0,4.0,1.067,0.322,13,1,0,1,2,1704000.0,0
51,1840000.0,2.0,0.4048,0.6083,6,0,0,0,0,613333.3333333334,0
39,4980000.0,0.0,0.9717,0.2897,11,0,0,0,0,4980000.0,0
29,2830000.0,0.0,0.3745,0.4557,10,1,0,0,1,2830000.0,0
28,2660000.0,3.0,0.2782,0.384,7,0,0,0,0,665000.0,0
47,5850000.0,1.0,0.3027,0.187,8,0,0,0,0,2925000.0,0
66,3600000.0,2.0,0.7319,0.2697,8,0,0,0,0,1200000.0,0
47,2410000.0,0.0,0.3934,0.1635,6,0,0,0,0,2410000.0,0
43,11070000.0,0.0,0.3118,0.1637,6,0,0,0,0,11070000.0,0
49,8680000.0,0.0,1.1596,0.1069,11,1,0,0,1,8680000.0,0
62,1570000.0,1.0,1.0821,0.487,3,0,0,0,0,785000.0,0
48,2060000.0,1.0,0.4177,0.6991,5,0,0,0,0,1030000.0,0
40,7140000.0,1.0,0.3774,0.6581,5,0,1,0,1,3570000.0,0
59,4210000.0,0.0,0.0951,0.1422,11,0,0,0,0,4210000.0,0
51,12300000.0,1.0,0.358,0.523,9,0,0,0,0,6150000.0,0
65,7240000.0,1.0,0.0898,0.5548,6,0,0,0,0,3620000.0,0
47,5980000.0,0.0,0.5773,0.4298,7,1,0,0,1,5980000.0,0
29,2710000.0,1.0,0.085,0.4778,4,0,0,0,0,1355000.0,0
27,6710000.0,0.0,0.4105,0.3779,6,1,0,0,1,6710000.0,0
66,2330000.0,0.0,0.4391,0.3127,10,0,0,0,0,2330000.0,0
67,10940000.0,0.0,0.5211,0.3947,5,1,1,0,2,10940000.0,0
43,6440000.0,0.0,1.7039080000000002,0.16,9,0,0,1,1,6440000.0,0
40,3050000.0,0.0,0.0902,0.1574,7,0,0,0,0,3050000.0,0
64,8100000.0,1.0,1.2123,0.6216,9,0,0,0,0,4050000.0,0
31,19190000.0,2.0,0.9896,0.3266,7,0,1,0,1,6396666.666666667,0
33,4390000.0,1.0,0.5158,0.575,7,0,0,0,0,2195000.0,0
53,6960000.0,0.0,1.1263,0.2093,7,1,0,0,1,6960000.0,0
40,3860000.0,2.0,1.1171,0.7186,10,0,0,0,0,1286666.6666666667,0
45,5260000.0,3.0,0.8135,0.675,12,0,0,0,0,1315000.0,0
43,2020000.0,2.0,0.2349,0.4757,12,0,0,0,0,673333.3333333334,0
49,5000000.0,2.0,0.2919,0.3073,13,0,0,0,0,1666666.6666666667,0
63,5130000.0,0.0,0.7474,0.7276,4,0,0,0,0,5130000.0,0
46,14710000.0,0.0,0.2593,0.5713,9,1,0,0,1,14710000.0,0
53,1700000.0,0.0,0.203,0.1139,8,0,0,0,0,1700000.0,0
18,4220000.0,0.0,0.615,0.2953,7,0,0,0,0,4220000.0,0
44,10830000.0,2.0,0.3465,0.2497,12,0,0,0,0,3610000.0,0
34,4320000.0,0.0,0.1545,0.2625,10,0,0,0,0,4320000.0,0
29,5050000.0,0.0,0.152,0.294,13,0,0,0,0,5050000.0,0
34,3030000.0,2.0,0.9773,0.2641,10,0,0,1,1,1010000.0,1
41,2860000.0,0.0,1.165,0.3298,7,0,0,0,0,2860000.0,0
57,1670000.0,0.0,0.1182,0.1581,5,0,0,0,0,1670000.0,0
28,3430000.0,1.0,0.7111,0.3547,12,0,0,0,0,1715000.0,1
45,5050000.0,0.0,1.1692,0.2471,10,0,0,0,0,5050000.0,0
39,5370000.0,0.0,0.5088,0.6911,15,0,1,0,1,5370000.0,1
41,3120000.0,1.0,0.0588,0.4818,3,0,0,0,0,1560000.0,0
58,3750000.0,2.0,0.4113,0.4364,7,0,0,1,1,1250000.0,1
52,3810000.0,2.0,0.6146,0.7183,8,0,0,0,0,1270000.0,0
62,4860000.0,1.0,0.3502,0.2858,4,0,0,0,0,2430000.0,0
43,3640000.0,1.0,1.6701,0.5262,9,1,0,0,1,1820000.0,0
36,2640000.0,0.0,0.4668,0.1868,15,0,0,0,0,2640000.0,0
42,5260000.0,2.0,0.9809,0.0724,7,1,1,0,2,1753333.3333333333,1
48,9490000.0,2.0,0.4367,0.1913,5,0,0,0,0,3163333.3333333335,0
47,5400000.0,1.0,1.0626,0.4784,7,0,0,0,0,2700000.0,0
31,3470000.0,2.0,0.1801,0.1835,11,1,0,0,1,1156666.6666666667,0
46,4640000.0,2.0,0.1698,0.1718,10,0,1,0,1,1546666.6666666667,0
48,1460000.0,0.0,0.0932,0.691,10,0,0,0,0,1460000.0,0
78,4600000.0,2.0,0.0178,0.1125,10,0,0,0,0,1533333.3333333333,0
69,3930000.0,0.0,0.4957,0.2869,5,0,0,0,0,3930000.0,0
34,2860000.0,0.0,0.1671,0.4934,12,0,0,0,0,2860000.0,0
41,3180000.0,0.0,0.1651,0.2968,7,0,0,0,0,3180000.0,0
26,3910000.0,0.0,0.5156,0.3264,8,0,0,0,0,3910000.0,0
37,9070000.0,1.0,0.9359,0.4803,8,0,0,1,1,4535000.0,0
49,9630000.0,4.0,0.8185,0.1176,11,0,0,0,0,1926000.0,0
61,2860000.0,1.0,0.12,0.143,9,0,0,0,0,1430000.0,0
36,3660000.0,0.0,0.4028,0.1476,6,0,0,0,0,3660000.0,0
36,3720000.0,2.0,0.1735,0.4708,6,0,0,0,0,1240000.0,0
18,8130000.0,0.0,0.4656,0.2339,11,1,0,0,1,8130000.0,0
43,5050000.0,0.0,0.985,0.3098,11,0,0,0,0,5050000.0,0
31,5290000.0,1.0,0.221,0.6232,4,0,0,0,0,2645000.0,0
38,6900000.0,0.0,0.6038,0.6938,11,0,0,0,0,6900000.0,0
34,3500000.0,2.0,0.918,0.3145,4,0,0,2,2,1166666.6666666667,1
44,11330000.0,0.0,0.5964,0.352,10,0,0,0,0,11330000.0,0
22,4990000.0,2.0,0.8781,0.3357,12,0,0,0,0,1663333.3333333333,0
26,2990000.0,1.0,0.499,0.4187,8,0,0,0,0,1495000.0,0
73,4360000.0,1.0,0.5513,0.2777,11,0,0,0,0,2180000.0,0
28,10470000.0,2.0,0.3805,0.5286,8,1,0,0,1,3490000.0,0
31,3870000.0,0.0,0.0905,0.1412,6,1,0,0,1,3870000.0,0
69,8840000.0,1.0,0.2589,0.1137,4,0,0,0,0,4420000.0,0
83,3440000.0,1.0,1.3581,0.1865,7,1,0,0,1,1720000.0,0
30,3160000.0,0.0,0.7233,0.2208,11,1,0,0,1,3160000.0,0
40,7430000.0,1.0,0.2804,0.4276,10,0,1,1,2,3715000.0,1
49,2960000.0,1.0,0.9904,0.5385,9,0,0,0,0,1480000.0,0
67,8190000.0,0.0,0.5668,0.4448,7,0,0,0,0,8190000.0,0
32,6170000.0,0.0,0.1449,0.1749,5,0,0,1,1,6170000.0,0
42,2960000.0,0.0,0.416,0.5537,5,0,0,0,0,2960000.0,0
55,4790000.0,1.0,0.254,0.3543,9,0,0,0,0,2395000.0,0
51,3600000.0,0.0,0.3332,0.7187,11,0,0,0,0,3600000.0,0
40,6160000.0,1.0,0.7597,0.2351,10,0,1,0,1,3080000.0,0
43,15520000.0,0.0,0.0638,0.1933,6,0,0,0,0,15520000.0,0
27,4000000.0,2.0,0.2635,0.487,7,0,1,0,1,1333333.3333333333,1
42,6890000.0,2.0,0.1913,0.1036,8,0,0,0,0,2296666.6666666665,0
42,5070000.0,0.0,0.0712,0.3975,4,2,0,0,2,5070000.0,0
48,5070000.0,1.0,0.2414,0.2983,7,0,0,1,1,2535000.0,0
38,4530000.0,1.0,0.8164,0.4114,6,0,0,0,0,2265000.0,0
51,2990000.0,0.0,0.4103,0.2962,9,0,0,0,0,2990000.0,0
58,6110000.0,2.0,0.139,0.2108,10,0,0,1,1,2036666.6666666667,0
47,4200000.0,0.0,0.9664,0.2438,11,0,0,0,0,4200000.0,0
50,2910000.0,1.0,0.0962,0.4756,11,0,0,0,0,1455000.0,0
46,9190000.0,0.0,0.8936,0.1964,4,0,0,0,0,9190000.0,0
45,5310000.0,0.0,0.4303,0.6193,11,0,0,0,0,5310000.0,0
36,4360000.0,1.0,0.4078,0.488,5,0,0,0,0,2180000.0,0
49,11170000.0,0.0,1.2004,0.2357,11,0,0,0,0,11170000.0,0
44,1660000.0,0.0,0.3937,0.1947,2,2,2,0,4,1660000.0,0
72,10730000.0,0.0,0.4523,0.2564,10,0,1,0,1,10730000.0,0
65,2950000.0,1.0,0.51,0.1217,15,0,0,0,0,1475000.0,0
50,5680000.0,0.0,0.9881,0.2822,6,0,1,0,1,5680000.0,0
35,3510000.0,0.0,0.507,0.6788,5,0,0,0,0,3510000.0,0
31,2870000.0,2.0,0.2763,0.7034,7,0,0,0,0,956666.6666666666,0
60,11000000.0,0.0,0.3716,0.0344,7,0,0,1,1,11000000.0,0
48,15230000.0,2.0,0.0689,0.0642,12,0,0,0,0,5076666.666666667,0
51,4380000.0,1.0,0.2605,0.4452,8,0,1,0,1,2190000.0,0
22,6110000.0,1.0,0.8243,0.5575,6,0,0,0,0,3055000.0,0
57,5170000.0,0.0,0.1163,0.2775,8,1,0,0,1,5170000.0,0
51,14120000.0,1.0,0.6202,0.3447,6,0,0,0,0,7060000.0,0
31,1410000.0,1.0,0.0808,0.0972,2,0,0,0,0,705000.0,0
39,6270000.0,2.0,0.4699,0.7211,7,2,0,0,2,2090000.0,0
48,3230000.0,1.0,0.637,0.4781,8,0,0,0,0,1615000.0,0
46,1220000.0,2.0,0.4433,0.9134,4,0,0,1,1,406666.6666666667,0
41,4030000.0,0.0,1.1303,0.4542,5,0,0,0,0,4030000.0,0
44,15150000.0,0.0,0.3964,0.1965,16,0,0,0,0,15150000.0,0
42,3370000.0,0.0,0.3587,0.2289,8,1,0,0,1,3370000.0,0
47,8040000.0,3.0,0.4598,0.1356,6,0,1,0,1,2010000.0,0
64,10260000.0,1.0,0.673,0.6499,9,2,0,0,2,5130000.0,0
18,4960000.0,0.0,0.7783,0.3129,7,0,0,0,0,4960000.0,0
42,5370000.0,1.0,0.6707,0.168,9,0,1,0,1,2685000.0,0
47,1790000.0,0.0,1.6282,0.4477,8,1,0,0,1,1790000.0,0
49,3250000.0,0.0,0.4536,0.2046,9,0,0,0,0,3250000.0,0
40,8620000.0,0.0,1.2939,0.3774,7,0,0,1,1,8620000.0,0
22,5050000.0,1.0,0.2777,0.2939,6,1,0,0,1,2525000.0,0
49,5050000.0,0.0,0.3845,0.1606,6,0,0,0,0,5050000.0,0
67,5420000.0,0.0,0.6463,0.1361,6,0,0,0,0,5420000.0,0
25,18630000.0,4.0,0.232,0.1343,4,0,0,0,0,3726000.0,0
56,3860000.0,0.0,0.3802,0.1167,8,0,0,0,0,3860000.0,0
41,13100000.0,1.0,1.109,0.1548,14,0,0,0,0,6550000.0,0
44,5420000.0,1.0,0.8485,0.7498,6,1,0,0,1,2710000.0,0
31,13820000.0,1.0,0.1469,0.5144,5,0,0,0,0,6910000.0,0
41,2400000.0,2.0,0.6998,0.3965,9,0,0,0,0,800000.0,0
62,5590000.0,3.0,0.3608,0.5917,10,0,1,0,1,1397500.0,0
53,3950000.0,0.0,0.0987,0.184,8,0,0,0,0,3950000.0,1
68,5440000.0,0.0,0.5448,0.2091,2,0,0,0,0,5440000.0,0
60,10410000.0,2.0,0.996,0.1507,7,0,0,0,0,3470000.0,0
51,6280000.0,1.0,1.3874,0.6609,11,1,0,0,1,3140000.0,1
68,10400000.0,2.0,0.1212,0.328,9,0,0,0,0,3466666.6666666665,0
51,3340000.0,0.0,0.0207,0.4924,5,0,0,0,0,3340000.0,0
56,3050000.0,0.0,0.8837,0.1735,11,0,0,0,0,3050000.0,0
41,5050000.0,1.0,0.8578,0.2066,9,0,0,0,0,2525000.0,1
46,4890000.0,1.0,0.3754,0.3727,4,0,0,0,0,2445000.0,0
36,4470000.0,0.0,0.8188,0.6412,9,0,0,0,0,4470000.0,0
58,2810000.0,0.0,0.7466,0.2317,13,0,0,0,0,2810000.0,0
30,10260000.0,0.0,0.355,0.8184,6,1,0,1,2,10260000.0,1
55,4020000.0,4.0,0.2713,0.4543,9,2,0,0,2,804000.0,1
43,11760000.0,2.0,0.3829,0.3067,6,0,0,0,0,3920000.0,0
60,5040000.0,1.0,0.1509,0.3312,13,0,0,0,0,2520000.0,0
55,7380000.0,0.0,0.2899,0.1688,10,0,0,0,0,7380000.0,0
69,6990000.0,0.0,0.3274,0.335,7,0,0,0,0,6990000.0,0
55,3050000.0,1.0,0.7156,0.1698,8,0,0,0,0,1525000.0,0
25,6230000.0,1.0,0.1553,0.6757,5,0,0,0,0,3115000.0,0
44,15900000.0,1.0,0.2627,0.0778,5,0,0,0,0,7950000.0,0
30,5810000.0,0.0,0.5789,0.7074,5,0,0,1,1,5810000.0,0
38,8590000.0,0.0,0.3199,0.6429,4,0,0,1,1,8590000.0,0
65,7580000.0,0.0,0.1389,0.291,10,1,0,0,1,7580000.0,0
53,6010000.0,0.0,0.4551,0.5562,8,0,1,0,1,6010000.0,0
36,5590000.0,0.0,0.4533,0.1636,8,0,0,0,0,5590000.0,0
32,6940000.0,0.0,1.1762,0.1118,7,1,0,0,1,6940000.0,0
45,7900000.0,2.0,0.0757,0.539,11,0,0,1,1,2633333.3333333335,1
29,5050000.0,2.0,0.8953,0.2359,8,0,0,0,0,1683333.3333333333,0
36,5800000.0,0.0,0.1928,0.113,8,0,0,0,0,5800000.0,0
49,4480000.0,0.0,1.1493,0.4322,4,0,1,0,1,4480000.0,0
60,3950000.0,0.0,0.6638,0.7493,13,0,0,0,0,3950000.0,0
53,10880000.0,2.0,1.5172,0.3625,6,0,0,0,0,3626666.6666666665,0
18,3220000.0,0.0,0.4022,0.2223,5,0,1,0,1,3220000.0,0
